Position;Const;Created;Modified;Description;Title;Original Title;Url;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;Rotten Tomatoes;NVotesRT;Metacritic;NVotesMC;FM_IMDb;NVotesFM_IMDb;Letterboxd;NVotesLB;Flickmetrix_total;Notes
Position;Const;Created;Modified;Description;Title;Original Title;URL;Title Type;IMDb Rating;Runtime (mins);Year;Genres;Num Votes;Release Date;Directors;;;;;;;;;;
1;tt20215234;21-05-2025;21-05-2025;;Conclave;Conclave;https://www.imdb.com/title/tt20215234/;Movie;7.4;120;2024;Drama, Thriller;188380;25-10-2024;Edward Berger;81;181;79;41;74;132086;78;1023425;79;
2;tt9218128;21-05-2025;21-05-2025;;Gladiator II;Gladiator II;https://www.imdb.com/title/tt9218128/;Movie;7.5;148;2024;Action, Adventure, Drama;239834;22-11-2024;Ridley Scott;66;214;64;41;66;216494;66;964396;67;
3;tt8999762;21-05-2025;21-05-2025;;The Brutalist;The Brutalist;https://www.imdb.com/title/tt8999762/;Movie;7.6;216;2024;Drama;85229;24-01-2025;Brady Corbet;88;175;90;41;75;68946;80;544891;84;
4;tt30057084;21-05-2025;21-05-2025;;Babygirl;Babygirl;https://www.imdb.com/title/tt30057084/;Movie;7.7;114;2024;Drama, Romance, Thriller;59447;25-12-2024;Halina Reijn;72;143;79;41;60;47394;58;553519;58;
5;tt28607951;21-05-2025;21-05-2025;;Anora;Anora;https://www.imdb.com/title/tt28607951/;Movie;7.8;139;2024;Comedy, Drama, Romance;193608;08-11-2024;Sean Baker;87;193;91;41;76;150547;78;1494086;82;
6;tt11563598;21-05-2025;21-05-2025;;A Complete Unknown;A Complete Unknown;https://www.imdb.com/title/tt11563598/;Movie;7.9;141;2024;Biography, Drama, Music;83713;25-12-2024;James Mangold;74;139;70;41;74;59651;72;647790;76;
7;tt17526714;21-05-2025;21-05-2025;;The Substance;The Substance;https://www.imdb.com/title/tt17526714/;Movie;7.10;141;2024;Drama, Horror, Sci-Fi;307576;20-09-2024;Coralie Fargeat;80;221;78;41;73;279846;76;2261848;77;
8;tt5040012;21-05-2025;21-05-2025;;Nosferatu;Nosferatu;https://www.imdb.com/title/tt5040012/;Movie;7.11;132;2024;Fantasy, Horror, Mystery;202024;25-12-2024;Robert Eggers;80;217;78;41;73;178656;74;1848874;78;
9;tt2049403;21-05-2025;21-05-2025;;Beetlejuice Beetlejuice;Beetlejuice Beetlejuice;https://www.imdb.com/title/tt2049403/;Movie;7.12;105;2024;Comedy, Fantasy, Horror;150749;06-09-2024;Tim Burton;64;207;62;41;67;143252;64;7934405;69;
